City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,2.17,78,61,7.26,GS,2023-12-03
1,lebu,-37.6167,-73.65,9.68,73,0,8.85,CL,2023-12-03
2,saint croix,17.7397,-64.7388,26.25,78,40,4.63,VI,2023-12-03
3,saipan,15.1355,145.701,30.39,66,20,8.23,MP,2023-12-03
4,port-aux-francais,-49.35,70.2167,5.3,90,83,17.61,TF,2023-12-03
5,uturoa,-16.7333,-151.4333,27.66,75,91,8.38,PF,2023-12-03
6,edinburgh of the seven seas,-37.0676,-12.3116,13.75,76,100,2.47,SH,2023-12-03
7,port blair,11.6667,92.75,27.02,83,75,3.6,IN,2023-12-03
8,jamestown,42.097,-79.2353,5.81,100,100,2.57,US,2023-12-03
9,longyearbyen,78.2186,15.6401,-7.09,86,75,4.63,SJ,2023-12-03
10,nuku'alofa,-21.1333,-175.2,28.19,89,20,6.69,TO,2023-12-03
11,veraval,20.9,70.3667,28.99,58,1,3.38,IN,2023-12-03
12,ankang,32.68,109.0172,14.29,44,71,0.48,CN,2023-12-03
13,waitangi,-43.9535,-176.5597,15.46,90,100,4.47,NZ,2023-12-03
14,atafu village,-8.5421,-172.5159,28.24,74,98,5.06,TK,2023-12-03
15,valle hermoso,25.6667,-97.8333,17.92,64,100,2.82,MX,2023-12-03
16,palmer,42.1584,-72.3287,7.57,86,100,0.0,US,2023-12-03
17,bontang,0.1333,117.5,29.02,71,78,4.06,ID,2023-12-03
18,arraial do cabo,-22.9661,-42.0278,23.06,95,75,6.37,BR,2023-12-03
19,mili,6.0815,171.735,27.06,85,100,8.65,MH,2023-12-03
20,dudinka,69.4058,86.1778,-29.92,92,17,4.92,RU,2023-12-03
21,puerto natales,-51.7236,-72.4875,1.98,90,46,3.33,CL,2023-12-03
22,tenenkou,14.4572,-4.9169,23.86,20,28,4.68,ML,2023-12-03
23,bilibino,68.0546,166.4372,-24.88,98,88,0.62,RU,2023-12-03
24,salekhard,66.53,66.6019,-29.99,98,16,2.7,RU,2023-12-03
25,ushuaia,-54.8,-68.3,3.81,81,75,10.8,AR,2023-12-03
26,kupang,-10.1667,123.5833,27.32,94,75,1.54,ID,2023-12-03
27,namibe,-15.1961,12.1522,22.36,84,100,1.49,AO,2023-12-03
28,severo-yeniseyskiy,60.3725,93.0408,-10.79,94,100,3.58,RU,2023-12-03
29,albany,42.6001,-73.9662,6.32,93,100,0.45,US,2023-12-03
30,pacific grove,36.6177,-121.9166,12.03,90,0,3.6,US,2023-12-03
31,sorsk,54.0033,90.2467,-1.95,85,81,4.35,RU,2023-12-03
32,oum hadjer,13.2954,19.6966,24.06,17,10,3.95,TD,2023-12-03
33,port elizabeth,-33.918,25.5701,21.29,84,100,2.06,ZA,2023-12-03
34,stanley,54.868,-1.6985,-0.82,93,95,0.94,GB,2023-12-03
35,yuyao,30.05,121.1494,14.87,38,85,2.5,CN,2023-12-03
